"Laikotarpis","Rodiklis","Miestas","Periodiškumas","Matavimo vienetai","Reikšmė"
"2020","Vidutinė temperatūra","Biržai","metinė","°C","9.2"
"2020","Vidutinė temperatūra","Laukuva","metinė","°C","8.6"
"2020","Vidutinė temperatūra","Kaunas","metinė","°C","9.3"
"2020","Vidutinė temperatūra","Klaipėda","metinė","°C","10.0"
"2020","Vidutinė temperatūra","Šiauliai","metinė","°C","9.2"
"2020","Vidutinė temperatūra","Utena","metinė","°C","8.8"
"2020","Vidutinė temperatūra","Varėna","metinė","°C","9.0"
"2020","Vidutinė temperatūra","Vilnius","metinė","°C","9.0"
"2020","Vidutinė temperatūra","Biržai","sausio mėn.","°C","2.4"
"2020","Vidutinė temperatūra","Laukuva","sausio mėn.","°C","1.9"
"2020","Vidutinė temperatūra","Kaunas","sausio mėn.","°C","2.4"
"2020","Vidutinė temperatūra","Klaipėda","sausio mėn.","°C","4.4"
"2020","Vidutinė temperatūra","Šiauliai","sausio mėn.","°C","2.5"
"2020","Vidutinė temperatūra","Utena","sausio mėn.","°C","2.5"
"2020","Vidutinė temperatūra","Varėna","sausio mėn.","°C","2.3"
"2020","Vidutinė temperatūra","Vilnius","sausio mėn.","°C","2.0"
"2020","Vidutinė temperatūra","Biržai","liepos mėn.","°C","17.0"
"2020","Vidutinė temperatūra","Laukuva","liepos mėn.","°C","16.1"
"2020","Vidutinė temperatūra","Kaunas","liepos mėn.","°C","17.3"
"2020","Vidutinė temperatūra","Klaipėda","liepos mėn.","°C","17.5"
"2020","Vidutinė temperatūra","Šiauliai","liepos mėn.","°C","17.0"
"2020","Vidutinė temperatūra","Utena","liepos mėn.","°C","16.9"
"2020","Vidutinė temperatūra","Varėna","liepos mėn.","°C","17.8"
"2020","Vidutinė temperatūra","Vilnius","liepos mėn.","°C","17.6"
"2019","Vidutinė temperatūra","Biržai","metinė","°C","8.5"
"2019","Vidutinė temperatūra","Laukuva","metinė","°C","8.1"
"2019","Vidutinė temperatūra","Kaunas","metinė","°C","9.0"
"2019","Vidutinė temperatūra","Klaipėda","metinė","°C","9.7"
"2019","Vidutinė temperatūra","Šiauliai","metinė","°C","8.8"
"2019","Vidutinė temperatūra","Utena","metinė","°C","8.5"
"2019","Vidutinė temperatūra","Varėna","metinė","°C","8.8"
"2019","Vidutinė temperatūra","Vilnius","metinė","°C","8.8"
"2019","Vidutinė temperatūra","Biržai","sausio mėn.","°C","-5.1"
"2019","Vidutinė temperatūra","Laukuva","sausio mėn.","°C","-4.4"
"2019","Vidutinė temperatūra","Kaunas","sausio mėn.","°C","-4.4"
"2019","Vidutinė temperatūra","Klaipėda","sausio mėn.","°C","-1.2"
"2019","Vidutinė temperatūra","Šiauliai","sausio mėn.","°C","-4.0"
"2019","Vidutinė temperatūra","Utena","sausio mėn.","°C","-4.4"
"2019","Vidutinė temperatūra","Varėna","sausio mėn.","°C","-4.4"
"2019","Vidutinė temperatūra","Vilnius","sausio mėn.","°C","-4.4"
"2019","Vidutinė temperatūra","Biržai","liepos mėn.","°C","16.9"
"2019","Vidutinė temperatūra","Laukuva","liepos mėn.","°C","16.0"
"2019","Vidutinė temperatūra","Kaunas","liepos mėn.","°C","17.2"
"2019","Vidutinė temperatūra","Klaipėda","liepos mėn.","°C","17.2"
"2019","Vidutinė temperatūra","Šiauliai","liepos mėn.","°C","17.0"
"2019","Vidutinė temperatūra","Utena","liepos mėn.","°C","16.5"
"2019","Vidutinė temperatūra","Varėna","liepos mėn.","°C","17.0"
"2019","Vidutinė temperatūra","Vilnius","liepos mėn.","°C","17.1"
"2018","Vidutinė temperatūra","Biržai","metinė","°C","7.6"
"2018","Vidutinė temperatūra","Laukuva","metinė","°C","7.5"
"2018","Vidutinė temperatūra","Kaunas","metinė","°C","8.3"
"2018","Vidutinė temperatūra","Klaipėda","metinė","°C","8.8"
"2018","Vidutinė temperatūra","Šiauliai","metinė","°C","8.1"
"2018","Vidutinė temperatūra","Utena","metinė","°C","7.7"
"2018","Vidutinė temperatūra","Varėna","metinė","°C","8.0"
"2018","Vidutinė temperatūra","Vilnius","metinė","°C","8.0"
"2018","Vidutinė temperatūra","Biržai","sausio mėn.","°C","-2.1"
"2018","Vidutinė temperatūra","Laukuva","sausio mėn.","°C","-1.9"
"2018","Vidutinė temperatūra","Kaunas","sausio mėn.","°C","-1.6"
"2018","Vidutinė temperatūra","Klaipėda","sausio mėn.","°C","-0.1"
"2018","Vidutinė temperatūra","Šiauliai","sausio mėn.","°C","-1.6"
"2018","Vidutinė temperatūra","Utena","sausio mėn.","°C","-1.9"
"2018","Vidutinė temperatūra","Varėna","sausio mėn.","°C","-1.9"
"2018","Vidutinė temperatūra","Vilnius","sausio mėn.","°C","-2.6"
"2018","Vidutinė temperatūra","Biržai","liepos mėn.","°C","20.0"
"2018","Vidutinė temperatūra","Laukuva","liepos mėn.","°C","19.5"
"2018","Vidutinė temperatūra","Kaunas","liepos mėn.","°C","20.2"
"2018","Vidutinė temperatūra","Klaipėda","liepos mėn.","°C","19.3"
"2018","Vidutinė temperatūra","Šiauliai","liepos mėn.","°C","20.2"
"2018","Vidutinė temperatūra","Utena","liepos mėn.","°C","19.7"
"2018","Vidutinė temperatūra","Varėna","liepos mėn.","°C","19.8"
"2018","Vidutinė temperatūra","Vilnius","liepos mėn.","°C","19.5"
"2017","Vidutinė temperatūra","Biržai","metinė","°C","7.0"
"2017","Vidutinė temperatūra","Laukuva","metinė","°C","6.9"
"2017","Vidutinė temperatūra","Kaunas","metinė","°C","7.7"
"2017","Vidutinė temperatūra","Klaipėda","metinė","°C","8.4"
"2017","Vidutinė temperatūra","Šiauliai","metinė","°C","7.5"
"2017","Vidutinė temperatūra","Utena","metinė","°C","7.2"
"2017","Vidutinė temperatūra","Varėna","metinė","°C","7.5"
"2017","Vidutinė temperatūra","Vilnius","metinė","°C","7.3"
"2017","Vidutinė temperatūra","Biržai","sausio mėn.","°C","-3.3"
"2017","Vidutinė temperatūra","Laukuva","sausio mėn.","°C","-3.3"
"2017","Vidutinė temperatūra","Kaunas","sausio mėn.","°C","-3.7"
"2017","Vidutinė temperatūra","Klaipėda","sausio mėn.","°C","-0.9"
"2017","Vidutinė temperatūra","Šiauliai","sausio mėn.","°C","-2.7"
"2017","Vidutinė temperatūra","Utena","sausio mėn.","°C","-3.9"
"2017","Vidutinė temperatūra","Varėna","sausio mėn.","°C","-4.4"
"2017","Vidutinė temperatūra","Vilnius","sausio mėn.","°C","-4.6"
"2017","Vidutinė temperatūra","Biržai","liepos mėn.","°C","16.1"
"2017","Vidutinė temperatūra","Laukuva","liepos mėn.","°C","15.7"
"2017","Vidutinė temperatūra","Kaunas","liepos mėn.","°C","16.8"
"2017","Vidutinė temperatūra","Klaipėda","liepos mėn.","°C","17.0"
"2017","Vidutinė temperatūra","Šiauliai","liepos mėn.","°C","16.4"
"2017","Vidutinė temperatūra","Utena","liepos mėn.","°C","16.4"
"2017","Vidutinė temperatūra","Varėna","liepos mėn.","°C","16.7"
"2017","Vidutinė temperatūra","Vilnius","liepos mėn.","°C","16.7"
"2016","Vidutinė temperatūra","Biržai","metinė","°C","7.4"
"2016","Vidutinė temperatūra","Laukuva","metinė","°C","7.1"
"2016","Vidutinė temperatūra","Kaunas","metinė","°C","7.7"
